,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference,,,,,
0,2018-01-23,1338.089966,1364.900024,1337.339966,1362.540039,5169300,0,0,1.83%,,,,,
1,2018-01-24,1374.819946,1388.160034,1338,1357.51001,6807500,0,0,-1.26%,,,,,
2,2018-01-25,1368,1378.339966,1357.619995,1377.949951,4753000,0,0,0.73%,,,,,
3,2018-01-26,1392.01001,1402.530029,1380.910034,1402.050049,4857300,0,0,0.72%,,,,,
4,2018-01-29,1409.180054,1431.390015,1400.439941,1417.680054,5701900,0,0,0.60%,,,,,
5,2018-01-30,1403.170044,1439.25,1392,1437.819946,5871900,0,0,2.47%,,,,,
6,2018-01-31,1451.300049,1472.579956,1450.040039,1450.890015,6424700,0,0,-0.03%,,,,,
7,2018-02-01,1445,1459.880005,1385.140015,1390,9113800,0,0,-3.81%,,,,,
8,2018-02-02,1477.390015,1498,1414,1429.949951,11125700,0,0,-3.21%,,,,,
9,2018-02-05,1402.619995,1458.97998,1320.719971,1390,11495000,0,0,-0.90%,,,,,
10,2018-02-06,1361.459961,1443.98999,1351.790039,1442.839966,11066800,0,0,5.98%,,,,,
11,2018-02-07,1449,1460.98999,1415.150024,1416.780029,7162700,0,0,-2.22%,,,,,
12,2018-02-08,1429.680054,1433.75,1349.939941,1350.5,8578600,0,0,-5.54%,,,,,
13,2018-02-09,1373.48999,1383.5,1265.930054,1339.599976,14141500,0,0,-2.47%,,,,,
14,2018-02-12,1364.670044,1393.810059,1344.01001,1386.22998,6738900,0,0,1.58%,,,,,
15,2018-02-13,1385.930054,1419.719971,1383.530029,1414.51001,5917900,0,0,2.06%,,,,,
16,2018-02-14,1406.25,1452.060059,1403.359985,1451.050049,5959200,0,0,3.19%,,,,,
17,2018-02-15,1466.890015,1468.939941,1436.839966,1461.76001,5652700,0,0,-0.35%,,,,,
18,2018-02-16,1457.369995,1465.800049,1446.560059,1448.689941,4472600,0,0,-0.60%,,,,,
19,2018-02-20,1446.48999,1488.77002,1446.48999,1468.349976,6499200,0,0,1.51%,,,,,
20,2018-02-21,1485,1503.48999,1478.920044,1482.920044,6304400,0,0,-0.14%,,,,,
21,2018-02-22,1495.359985,1502.540039,1475.76001,1485.339966,4858100,0,0,-0.67%,,,,,
22,2018-02-23,1495.339966,1500,1486.5,1500,4418100,0,0,0.31%,,,,,
23,2018-02-26,1509.199951,1522.839966,1507,1521.949951,4955000,0,0,0.84%,,,,,
24,2018-02-27,1524.5,1526.780029,1507.209961,1511.97998,4808800,0,0,-0.82%,,,,,
25,2018-02-28,1519.51001,1528.699951,1512,1512.449951,4515000,0,0,-0.46%,,,,,
26,2018-03-01,1513.599976,1518.48999,1465,1493.449951,6835200,0,0,-1.33%,,,,,
27,2018-03-02,1469.099976,1501.050049,1455.01001,1500.25,6587600,0,0,2.12%,,,,,
28,2018-03-05,1494.23999,1525.380005,1481,1523.609985,5233900,0,0,1.97%,,,,,
29,2018-03-06,1533.199951,1542.130005,1528,1537.640015,4561700,0,0,0.29%,,,,,
30,2018-03-07,1526.52002,1545.900024,1522.51001,1545,4174100,0,0,1.21%,,,,,
31,2018-03-08,1550,1554.880005,1545.25,1551.859985,3862600,0,0,0.12%,,,,,
32,2018-03-09,1563.5,1578.939941,1559.079956,1578.890015,4534300,0,0,0.98%,,,,,
33,2018-03-12,1592.599976,1605.329956,1586.699951,1598.390015,5174200,0,0,0.36%,,,,,
34,2018-03-13,1615.959961,1617.540039,1578.01001,1588.180054,6531900,0,0,-1.72%,,,,,
35,2018-03-14,1597,1606.439941,1590.890015,1591,4259400,0,0,-0.38%,,,,,
36,2018-03-15,1595,1596.910034,1578.109985,1582.319946,4069700,0,0,-0.79%,,,,,
37,2018-03-16,1583.449951,1589.439941,1567.5,1571.680054,5425000,0,0,-0.74%,,,,,
38,2018-03-19,1554.530029,1561.660034,1525.349976,1544.930054,6580800,0,0,-0.62%,,,,,
39,2018-03-20,1550.339966,1587,1545.410034,1586.51001,4581600,0,0,2.33%,,,,,
40,2018-03-21,1586.449951,1590,1563.170044,1581.859985,4750800,0,0,-0.29%,,,,,
41,2018-03-22,1565.469971,1573.849976,1542.400024,1544.920044,6320600,0,0,-1.31%,,,,,
42,2018-03-23,1539.01001,1549.02002,1495.359985,1495.560059,8006000,0,0,-2.82%,,,,,
43,2018-03-26,1530,1556.98999,1499.25,1555.859985,5624700,0,0,1.69%,,,,,
44,2018-03-27,1572.400024,1575.969971,1482.319946,1497.050049,6999600,0,0,-4.79%,,,,,
45,2018-03-28,1447,1455.900024,1386.170044,1431.420044,13705300,0,0,-1.08%,,,,,
46,2018-03-29,1406,1455.469971,1365.199951,1447.339966,12581100,0,0,2.94%,,,,,
47,2018-04-02,1417.619995,1421.359985,1355,1371.98999,10463600,0,0,-3.22%,,,,,
48,2018-04-03,1391.380005,1414,1355.329956,1392.050049,10231200,0,0,0.05%,,,,,
49,2018-04-04,1358.23999,1415.390015,1352.880005,1410.569946,6982300,0,0,3.85%,,,,,
50,2018-04-05,1441.98999,1459.560059,1427.069946,1451.75,6413500,0,0,0.68%,,,,,
51,2018-04-06,1429.969971,1452.5,1400.26001,1405.22998,5882300,0,0,-1.73%,,,,,
52,2018-04-09,1425.030029,1438.47998,1402.569946,1406.079956,4208200,0,0,-1.33%,,,,,
53,2018-04-10,1431.98999,1438.380005,1415.699951,1436.219971,4254100,0,0,0.30%,,,,,
54,2018-04-11,1439.439941,1448.780029,1424.890015,1427.050049,3582500,0,0,-0.86%,,,,,
55,2018-04-12,1439.5,1452.119995,1435.060059,1448.5,3135000,0,0,0.63%,,,,,
56,2018-04-13,1449.140015,1459.780029,1424.52002,1430.790039,3685300,0,0,-1.27%,,,,,
57,2018-04-16,1445,1447,1427.47998,1441.5,2808600,0,0,-0.24%,,,,,
58,2018-04-17,1462.300049,1507.189941,1457.02002,1503.829956,5114400,0,0,2.84%,,,,,
59,2018-04-18,1514.650024,1533.800049,1504.109985,1527.839966,5227500,0,0,0.87%,,,,,
60,2018-04-19,1543.219971,1568.52002,1539.060059,1556.910034,6523700,0,0,0.89%,,,,,
61,2018-04-20,1561.199951,1561.199951,1516.089966,1527.48999,5541600,0,0,-2.16%,,,,,
62,2018-04-23,1546.689941,1548,1503.410034,1517.859985,4465400,0,0,-1.86%,,,,,
63,2018-04-24,1535.800049,1539.5,1448.449951,1460.089966,7494700,0,0,-4.93%,,,,,
64,2018-04-25,1458,1469.98999,1415.02002,1460.170044,6587300,0,0,0.15%,,,,,
65,2018-04-26,1485.01001,1529.420044,1478.5,1517.959961,8801100,0,0,2.22%,,,,,
66,2018-04-27,1634.01001,1638.099976,1567.390015,1572.619995,13053200,0,0,-3.76%,,,,,
67,2018-04-30,1582.5,1596,1560.939941,1566.130005,5464100,0,0,-1.03%,,,,,
68,2018-05-01,1563.219971,1585,1552.180054,1582.26001,4572100,0,0,1.22%,,,,,
69,2018-05-02,1580.97998,1588.5,1566.359985,1569.680054,4360300,0,0,-0.71%,,,,,
70,2018-05-03,1560.01001,1574.800049,1546.02002,1572.079956,4251900,0,0,0.77%,,,,,
71,2018-05-04,1562.449951,1584.900024,1562.189941,1580.949951,3443600,0,0,1.18%,,,,,
72,2018-05-07,1589.339966,1606.949951,1587.829956,1600.140015,3801900,0,0,0.68%,,,,,
73,2018-05-08,1595,1596.880005,1582.51001,1592.390015,3067900,0,0,-0.16%,,,,,
74,2018-05-09,1600,1608,1592,1608,3637300,0,0,0.50%,,,,,
75,2018-05-10,1608.47998,1615.599976,1603.439941,1609.079956,2817500,0,0,0.04%,,,,,
76,2018-05-11,1610.98999,1611.099976,1597.890015,1602.910034,2263900,0,0,-0.50%,,,,,
77,2018-05-14,1604,1611.180054,1600.050049,1601.540039,2509500,0,0,-0.15%,,,,,
78,2018-05-15,1587.800049,1587.800049,1565.219971,1576.119995,5077500,0,0,-0.74%,,,,,
79,2018-05-16,1577.5,1594.430054,1576.670044,1587.280029,2570600,0,0,0.62%,,,,,
80,2018-05-17,1580.560059,1594.040039,1573,1581.76001,2147600,0,0,0.08%,,,,,
81,2018-05-18,1581.329956,1583.589966,1572.099976,1574.369995,2642600,0,0,-0.44%,,,,,
82,2018-05-21,1585,1592.050049,1575,1585.459961,2925200,0,0,0.03%,,,,,
83,2018-05-22,1589.890015,1589.890015,1575.25,1581.400024,2115600,0,0,-0.53%,,,,,
84,2018-05-23,1571.050049,1601.859985,1566.339966,1601.859985,3361900,0,0,1.96%,,,,,
85,2018-05-24,1598.030029,1608.23999,1588.380005,1603.069946,3430000,0,0,0.32%,,,,,
86,2018-05-25,1603,1614.119995,1600.449951,1610.150024,2698400,0,0,0.45%,,,,,
87,2018-05-29,1600.709961,1621.790039,1600.150024,1612.869995,3846500,0,0,0.76%,,,,,
88,2018-05-30,1618.099976,1626,1612.930054,1624.890015,2907400,0,0,0.42%,,,,,
89,2018-05-31,1623,1635,1621.349976,1629.619995,3166300,0,0,0.41%,,,,,
90,2018-06-01,1637.030029,1646.72998,1635.089966,1641.540039,3313400,0,0,0.28%,,,,,
91,2018-06-04,1648.900024,1665.680054,1645.48999,1665.27002,3187700,0,0,0.99%,,,,,
92,2018-06-05,1672.98999,1699,1670.060059,1696.349976,4782200,0,0,1.40%,,,,,
93,2018-06-06,1704.51001,1714.5,1686.469971,1695.75,5473200,0,0,-0.51%,,,,,
94,2018-06-07,1698.560059,1699.900024,1676.109985,1689.300049,3765700,0,0,-0.55%,,,,,
95,2018-06-08,1681.119995,1689.439941,1673.01001,1683.98999,2955100,0,0,0.17%,,,,,
96,2018-06-11,1681.51001,1694.23999,1680.589966,1689.119995,2335500,0,0,0.45%,,,,,
97,2018-06-12,1693,1699.51001,1691.52002,1698.75,2259200,0,0,0.34%,,,,,
98,2018-06-13,1702.810059,1713.75,1700.119995,1704.859985,3327500,0,0,0.12%,,,,,
99,2018-06-14,1713.47998,1724.800049,1708.869995,1723.859985,3174400,0,0,0.61%,,,,,
100,2018-06-15,1714,1720.869995,1708.52002,1715.969971,4777600,0,0,0.11%,,,,,
101,2018-06-18,1706.26001,1726.73999,1702.560059,1723.790039,3107700,0,0,1.03%,,,,,
102,2018-06-19,1709.040039,1736.109985,1700.390015,1734.780029,4290100,0,0,1.51%,,,,,
103,2018-06-20,1742.5,1762.930054,1741.359985,1750.079956,4332600,0,0,0.44%,,,,,
104,2018-06-21,1760,1763.099976,1717.560059,1730.219971,4941100,0,0,-1.69%,,,,,
105,2018-06-22,1742.619995,1743,1711.900024,1715.670044,4075100,0,0,-1.55%,,,,,
106,2018-06-25,1702.51001,1705,1646.310059,1663.150024,7511200,0,0,-2.31%,,,,,
107,2018-06-26,1672.369995,1701.569946,1663.339966,1691.089966,4386600,0,0,1.12%,,,,,
108,2018-06-27,1708.109985,1711.949951,1660,1660.51001,4872200,0,0,-2.79%,,,,,
109,2018-06-28,1672.540039,1705.5,1661.170044,1701.449951,4529700,0,0,1.73%,,,,,
110,2018-06-29,1717,1723.410034,1694.319946,1699.800049,4543500,0,0,-1.00%,,,,,
111,2018-07-02,1682.699951,1713.890015,1678.060059,1713.780029,3185700,0,0,1.85%,,,,,
112,2018-07-03,1723.959961,1725,1692.47998,1693.959961,2177300,0,0,-1.74%,,,,,
113,2018-07-05,1705.380005,1710.689941,1682.150024,1699.72998,2983100,0,0,-0.33%,,,,,
114,2018-07-06,1696,1715.27002,1691.670044,1710.630005,2650300,0,0,0.86%,,,,,
115,2018-07-09,1724.050049,1739.560059,1716.22998,1739.02002,3012000,0,0,0.87%,,,,,
116,2018-07-10,1738.530029,1750,1731,1743.069946,3002900,0,0,0.26%,,,,,
117,2018-07-11,1737.98999,1756.959961,1734,1755,3209800,0,0,0.98%,,,,,
118,2018-07-12,1764.51001,1798,1762.180054,1796.619995,4532700,0,0,1.82%,,,,,
119,2018-07-13,1803.930054,1815.300049,1795.22998,1813.030029,4383200,0,0,0.50%,,,,,
120,2018-07-16,1821.949951,1841.949951,1814.449951,1822.48999,5466200,0,0,0.03%,,,,,
121,2018-07-17,1811.560059,1851.689941,1797.380005,1843.930054,5682900,0,0,1.79%,,,,,
122,2018-07-18,1848,1858.880005,1831.27002,1842.920044,4861900,0,0,-0.27%,,,,,
123,2018-07-19,1829.459961,1841,1811.27002,1812.969971,4676900,0,0,-0.90%,,,,,
124,2018-07-20,1825.01001,1834.839966,1810.060059,1813.699951,3884400,0,0,-0.62%,,,,,
125,2018-07-23,1812.209961,1819,1769.98999,1802,3888500,0,0,-0.56%,,,,,
126,2018-07-24,1829.01001,1840,1809.380005,1829.23999,4278700,0,0,0.01%,,,,,
127,2018-07-25,1829.300049,1863.839966,1822.640015,1863.609985,3738200,0,0,1.88%,,,,,
128,2018-07-26,1839,1844.680054,1804.5,1808,9924400,0,0,-1.69%,,,,,
129,2018-07-27,1876.050049,1880.050049,1806.530029,1817.27002,9681000,0,0,-3.13%,,,,,
130,2018-07-30,1827.329956,1829.5,1766.02002,1779.219971,6562300,0,0,-2.63%,,,,,
131,2018-07-31,1786.48999,1801.829956,1739.319946,1777.439941,5738700,0,0,-0.51%,,,,,
132,2018-08-01,1784,1798.439941,1776.02002,1797.170044,4153100,0,0,0.74%,,,,,
133,2018-08-02,1788.77002,1836.560059,1786,1834.329956,4354700,0,0,2.55%,,,,,
134,2018-08-03,1837.73999,1841,1821.5,1823.290039,3460500,0,0,-0.79%,,,,,
135,2018-08-06,1825.810059,1847.77002,1818.920044,1847.75,3391800,0,0,1.20%,,,,,
136,2018-08-07,1854.530029,1869.719971,1846.27002,1862.47998,3377500,0,0,0.43%,,,,,
137,2018-08-08,1861,1891.51001,1854.5,1886.52002,3963000,0,0,1.37%,,,,,
138,2018-08-09,1882,1914.569946,1877.47998,1898.52002,4860400,0,0,0.88%,,,,,
139,2018-08-10,1888.51001,1899.5,1878.209961,1886.300049,3639900,0,0,-0.12%,,,,,
140,2018-08-13,1898.5,1925,1893.670044,1896.199951,5531500,0,0,-0.12%,,,,,
141,2018-08-14,1919.390015,1921.01001,1900,1919.650024,3986100,0,0,0.01%,,,,,
142,2018-08-15,1909.550049,1916.209961,1869.790039,1882.619995,7700700,0,0,-1.41%,,,,,
143,2018-08-16,1903.939941,1905,1883.550049,1886.52002,3957100,0,0,-0.91%,,,,,
144,2018-08-17,1885.800049,1888,1855.550049,1882.219971,4104300,0,0,-0.19%,,,,,
145,2018-08-20,1890.569946,1891.75,1866.060059,1876.709961,2862000,0,0,-0.73%,,,,,
146,2018-08-21,1880,1897.75,1874.410034,1883.420044,3105600,0,0,0.18%,,,,,
147,2018-08-22,1876.640015,1905.800049,1876.640015,1904.900024,3080500,0,0,1.51%,,,,,
148,2018-08-23,1907.170044,1919.5,1900.76001,1902.900024,3563000,0,0,-0.22%,,,,,
149,2018-08-24,1910.51001,1916.01001,1902.540039,1905.390015,2800900,0,0,-0.27%,,,,,
150,2018-08-27,1915,1927.699951,1909.280029,1927.680054,3569000,0,0,0.66%,,,,,
151,2018-08-28,1937.72998,1941.780029,1928.819946,1932.819946,3100700,0,0,-0.25%,,,,,
152,2018-08-29,1953.449951,1998.689941,1948.939941,1998.099976,6531800,0,0,2.29%,,,,,
153,2018-08-30,1997.420044,2025.569946,1986.900024,2002.380005,7277300,0,0,0.25%,,,,,
154,2018-08-31,2007,2022.380005,2004.73999,2012.709961,4204400,0,0,0.28%,,,,,
155,2018-09-04,2026.5,2050.5,2013,2039.51001,5721100,0,0,0.64%,,,,,
156,2018-09-05,2038.109985,2040.380005,1989.890015,1994.819946,8220600,0,0,-2.12%,,,,,
157,2018-09-06,2006.51001,2007.5,1935.209961,1958.310059,7488700,0,0,-2.40%,,,,,
158,2018-09-07,1938.709961,1975.199951,1937.349976,1952.069946,4892600,0,0,0.69%,,,,,
159,2018-09-10,1971,1973.040039,1931.52002,1939.01001,4544800,0,0,-1.62%,,,,,
160,2018-09-11,1928.27002,1988.880005,1917,1987.150024,5033600,0,0,3.05%,,,,,
161,2018-09-12,1994,2000,1962.439941,1990,4414000,0,0,-0.20%,,,,,
162,2018-09-13,2000,2008.76001,1982.030029,1989.869995,3621500,0,0,-0.51%,,,,,
163,2018-09-14,1992.930054,1993.650024,1959.219971,1970.189941,3642000,0,0,-1.14%,,,,,
164,2018-09-17,1954.72998,1956.819946,1887.410034,1908.030029,7050200,0,0,-2.39%,,,,,
165,2018-09-18,1918.650024,1958.199951,1915.439941,1941.050049,4268700,0,0,1.17%,,,,,
166,2018-09-19,1940.5,1940.829956,1904.900024,1926.420044,4056800,0,0,-0.73%,,,,,
167,2018-09-20,1938.579956,1955,1932.25,1944.300049,3154900,0,0,0.30%,,,,,
168,2018-09-21,1954.219971,1957.310059,1910.5,1915.01001,6855900,0,0,-2.01%,,,,,
169,2018-09-24,1903.790039,1936.880005,1865,1934.359985,4213700,0,0,1.61%,,,,,
170,2018-09-25,1942.900024,1975.910034,1938.849976,1974.550049,4538400,0,0,1.63%,,,,,
171,2018-09-26,1968.5,1995.25,1961.52002,1974.849976,4313500,0,0,0.32%,,,,,
172,2018-09-27,1993.23999,2016.160034,1988.579956,2012.97998,4329400,0,0,0.99%,,,,,
173,2018-09-28,2004.410034,2026.52002,1996.459961,2003,4085100,0,0,-0.07%,,,,,
174,2018-10-01,2021.98999,2033.189941,2003.599976,2004.359985,3460500,0,0,-0.87%,,,,,
175,2018-10-02,1999.98999,2013.390015,1965.77002,1971.310059,5400700,0,0,-1.43%,,,,,
176,2018-10-03,1981.699951,1989.699951,1949.810059,1952.76001,5253100,0,0,-1.46%,,,,,
177,2018-10-04,1949,1956,1896.569946,1909.420044,7257000,0,0,-2.03%,,,,,
178,2018-10-05,1917.98999,1929.079956,1862.829956,1889.650024,6822300,0,0,-1.48%,,,,,
179,2018-10-08,1874,1902,1830.660034,1864.420044,7393200,0,0,-0.51%,,,,,
180,2018-10-09,1859.98999,1896.680054,1852.319946,1870.319946,4772900,0,0,0.56%,,,,,
181,2018-10-10,1857.890015,1858.560059,1754.410034,1755.25,10988900,0,0,-5.52%,,,,,
182,2018-10-11,1724,1755.400024,1685.099976,1719.359985,13935900,0,0,-0.27%,,,,,
183,2018-10-12,1808,1808.949951,1742.530029,1788.609985,9444600,0,0,-1.07%,,,,,
184,2018-10-15,1795,1795.050049,1734.22998,1760.949951,6437200,0,0,-1.90%,,,,,
185,2018-10-16,1783.5,1823.880005,1761.550049,1819.959961,5859900,0,0,2.04%,,,,,
186,2018-10-17,1842.790039,1845,1807,1831.72998,5295200,0,0,-0.60%,,,,,
187,2018-10-18,1821.48999,1830.150024,1767.869995,1770.719971,5874000,0,0,-2.79%,,,,,
188,2018-10-19,1785.160034,1809.099976,1753,1764.030029,5907200,0,0,-1.18%,,,,,
189,2018-10-22,1784,1809.5,1756,1789.300049,4500000,0,0,0.30%,,,,,
190,2018-10-23,1742.23999,1776.339966,1714,1768.699951,6723900,0,0,1.52%,,,,,
191,2018-10-24,1773.699951,1777.709961,1656.560059,1664.199951,6928400,0,0,-6.17%,,,,,
192,2018-10-25,1703.339966,1794.810059,1692.01001,1782.170044,10285700,0,0,4.63%,,,,,
193,2018-10-26,1649.589966,1698.459961,1603,1642.810059,14963800,0,0,-0.41%,,,,,
194,2018-10-29,1660,1665.73999,1495,1538.880005,13866100,0,0,-7.30%,,,,,
195,2018-10-30,1486.160034,1540.98999,1476.359985,1530.420044,12460100,0,0,2.98%,,,,,
196,2018-10-31,1569.98999,1623.910034,1565.089966,1598.01001,9390200,0,0,1.78%,,,,,
197,2018-11-01,1623.530029,1670.449951,1598.439941,1665.530029,8135500,0,0,2.59%,,,,,
198,2018-11-02,1678.589966,1697.439941,1651.829956,1665.530029,6955500,0,0,-0.78%,,,,,
199,2018-11-05,1657.569946,1658.089966,1596.359985,1627.800049,5624700,0,0,-1.80%,,,,,
200,2018-11-06,1618.349976,1665,1614.550049,1642.810059,4257400,0,0,1.51%,,,,,
201,2018-11-07,1673,1759.22998,1664.079956,1755.48999,8192200,0,0,4.93%,,,,,
202,2018-11-08,1755,1784,1725.109985,1754.910034,6534900,0,0,-0.01%,,,,,
203,2018-11-09,1732.5,1743.920044,1701.869995,1712.430054,5902200,0,0,-1.16%,,,,,
204,2018-11-12,1698.23999,1708.550049,1630.01001,1636.849976,6806200,0,0,-3.61%,,,,,
205,2018-11-13,1649.290039,1677.060059,1613.75,1631.170044,5933300,0,0,-1.10%,,,,,
206,2018-11-14,1656.319946,1673,1597.069946,1599.01001,6486900,0,0,-3.46%,,,,,
207,2018-11-15,1581.01001,1624.819946,1546.51001,1619.439941,8427300,0,0,2.43%,,,,,
208,2018-11-16,1587.5,1614.47998,1573.119995,1593.410034,6066100,0,0,0.37%,,,,,
209,2018-11-19,1577.01001,1581.189941,1503.359985,1512.290039,7790000,0,0,-4.10%,,,,,
210,2018-11-20,1437.5,1534.75,1420,1495.459961,10878800,0,0,4.03%,,,,,
211,2018-11-21,1542.98999,1550,1515,1516.72998,5716800,0,0,-1.70%,,,,,
212,2018-11-23,1517,1536.199951,1501.810059,1502.060059,2707600,0,0,-0.98%,,,,,
213,2018-11-26,1539,1584.810059,1524.219971,1581.329956,6257700,0,0,2.75%,,,,,
214,2018-11-27,1575.98999,1597.650024,1558.01001,1581.420044,5783200,0,0,0.34%,,,,,
215,2018-11-28,1613.920044,1681.449951,1601.219971,1677.75,8458700,0,0,3.95%,,,,,
216,2018-11-29,1674.98999,1689.98999,1652.329956,1673.569946,6613200,0,0,-0.08%,,,,,
217,2018-11-30,1679.5,1696,1666.5,1690.170044,5761800,0,0,0.64%,,,,,
218,2018-12-03,1769.459961,1778.339966,1730,1772.359985,6862300,0,0,0.16%,,,,,
219,2018-12-04,1756,1770.339966,1665,1668.400024,8694500,0,0,-4.99%,,,,,
220,2018-12-06,1614.869995,1701.050049,1609.849976,1699.189941,8789400,0,0,5.22%,,,,,
221,2018-12-07,1705.069946,1718.930054,1625.459961,1629.130005,7576100,0,0,-4.45%,,,,,
222,2018-12-10,1623.839966,1657.98999,1590.869995,1641.030029,7494800,0,0,1.06%,,,,,
223,2018-12-11,1678,1679.469971,1619.599976,1643.23999,6244700,0,0,-2.07%,,,,,
224,2018-12-12,1669,1704.98999,1660.27002,1663.540039,6598000,0,0,-0.33%,,,,,
225,2018-12-13,1680,1692.119995,1641.5,1658.380005,5271300,0,0,-1.29%,,,,,
226,2018-12-14,1638,1642.569946,1585,1591.910034,6367200,0,0,-2.81%,,,,,
227,2018-12-17,1566,1576.130005,1505.01001,1520.910034,8829800,0,0,-2.88%,,,,,
228,2018-12-18,1540,1567.550049,1523.01001,1551.47998,6523000,0,0,0.75%,,,,,
229,2018-12-19,1543.050049,1584.530029,1483.180054,1495.079956,8792200,0,0,-3.11%,,,,,
230,2018-12-20,1484,1509.5,1432.689941,1460.829956,9991800,0,0,-1.56%,,,,,
231,2018-12-21,1464.98999,1480,1363.959961,1377.449951,13640300,0,0,-5.98%,,,,,
232,2018-12-24,1346,1396.030029,1307,1343.959961,7220000,0,0,-0.15%,,,,,
233,2018-12-26,1368.890015,1473.160034,1363.01001,1470.900024,10411800,0,0,7.45%,,,,,
234,2018-12-27,1454.199951,1469,1390.310059,1461.640015,9722000,0,0,0.51%,,,,,
235,2018-12-28,1473.349976,1513.469971,1449,1478.02002,8829000,0,0,0.32%,,,,,
236,2018-12-31,1510.800049,1520.76001,1487,1501.969971,6954500,0,0,-0.58%,,,,,
237,2019-01-02,1465.199951,1553.359985,1460.930054,1539.130005,7983100,0,0,5.05%,,,,,
238,2019-01-03,1520.01001,1538,1497.109985,1500.280029,6975600,0,0,-1.30%,,,,,
239,2019-01-04,1530,1594,1518.310059,1575.390015,9182600,0,0,2.97%,,,,,
240,2019-01-07,1602.310059,1634.560059,1589.189941,1629.51001,7993200,0,0,1.70%,,,,,
241,2019-01-08,1664.689941,1676.609985,1616.609985,1656.579956,8881400,0,0,-0.49%,,,,,
242,2019-01-09,1652.97998,1667.800049,1641.400024,1659.420044,6348800,0,0,0.39%,,,,,
243,2019-01-10,1641.01001,1663.25,1621.619995,1656.219971,6507700,0,0,0.93%,,,,,
244,2019-01-11,1640.550049,1660.290039,1636.219971,1640.560059,4686200,0,0,0.00%,,,,,
245,2019-01-14,1615,1648.199951,1595.150024,1617.209961,6005900,0,0,0.14%,,,,,
246,2019-01-15,1632,1675.160034,1626.01001,1674.560059,5998500,0,0,2.61%,,,,,
247,2019-01-16,1684.219971,1705,1675.880005,1683.780029,6366900,0,0,-0.03%,,,,,
248,2019-01-17,1680,1700.170044,1677.5,1693.219971,4208900,0,0,0.79%,,,,,
249,2019-01-18,1712,1716.199951,1691.540039,1696.199951,6020500,0,0,-0.92%,,,,,
